cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,customer_count,segment_name,business_summary,recommended_action
0,2182.352833033726,0.9817017349019607,4187.017796078431,2663.9951529411765,1523.4932313725492,449.75313975764703,0.9481753003921569,0.6647804768627451,0.739629905882353,0.062415313725490196,1.507450980392157,55.692549019607846,7642.78431372549,4075.5336476368625,1227.915879042353,0.2987658525490196,11.916862745098038,1275,Installment Focused Spenders,"Installment Focused Spenders carry an average balance of 2,182, spend about 4,187 through purchases, use 450 in cash advances, and have an average credit limit near 7,643.","Highlight installment plans, merchant financing partnerships, and planned-purchase promotions."
1,807.7225103017665,0.8345769389924762,496.062522080471,247.27321393523061,249.11036800785084,338.9967599080798,0.4603529286882565,0.12919081844946026,0.3420524681059863,0.06956334281975793,1.2368334968923782,8.480045796532549,3267.0221762934248,907.4461643385672,530.0685457443572,0.1541145857049395,11.475793261367354,6114,Mixed Usage Customers,"Mixed Usage Customers carry an average balance of 808, spend about 496 through purchases, use 339 in cash advances, and have an average credit limit near 3,267.",Monitor this mixed segment for cross-sell opportunities and refine messaging based on product usage patterns.
2,4023.7888645842413,0.9591927463164638,389.05144778987824,252.33326073030108,136.79741191543883,3917.254973284433,0.23389884304932734,0.11180557078795643,0.14566129852658552,0.45140985906470216,12.551569506726457,5.636130685458039,6729.471201444587,3053.943770736067,1765.204181191544,0.03367268737988469,11.353619474695709,1561,High Balance Revolvers,"High Balance Revolvers carry an average balance of 4,024, spend about 389 through purchases, use 3,917 in cash advances, and have an average credit limit near 6,729.","Focus on credit-risk monitoring, balance transfer offers, and personalized debt management outreach."
